model      ;temperature;prompt                                   ;tokens;iteration;response       ;semantic_shift
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;20    ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.0 
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;20    ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.0 
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;20    ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.0 
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;20    ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.0 
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;50    ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;50    ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;50    ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;50    ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;100   ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;100   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;100   ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;100   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;200   ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;200   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;200   ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;200   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;400   ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;400   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;400   ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Explain quantum mechanics in one sentence;400   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;0.0        ;Write a quatrain about war               ;20    ;1        ;steel clashes loud beneath a blood-red sky   the hopes of many drowned in battle’s roar.;1.05
gpt-4.1    ;0.0        ;Write a quatrain about war               ;20    ;2        ;steel clashes loud beneath a blood-red sky   the cries of hope are drowned by cannon’s roar;1.04
gpt-4.1    ;0.0        ;Write a quatrain about war               ;20    ;3        ;steel clashes loud beneath a blood-red sky   the hopes of many drowned in battle’s roar.;1.1 
gpt-4.1    ;0.0        ;Write a quatrain about war               ;20    ;4        ;steel clashes loud beneath a blood-red sky   the hopes of many drowned in battle’s roar.;1.04
